Gene ID	Gene Name	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.log2foldchange	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.log2foldchange
ENSMUSG00000043286	Pnpla1	NA	-0.4	NA	0.1
ENSMUSG00000043289	Mei4	NA	0	NA	0.3
ENSMUSG00000043290	Zfp784	NA	-0.5	NA	-0.3
ENSMUSG00000043295	Gm16373	0.988077505026325	-0.1	0.390890707066167	0.4
ENSMUSG00000043298	Smco3	NA	0	NA	0
ENSMUSG00000043300	B3galnt1	0.0453490884658216	0.5	0.206881826104262	0.2
ENSMUSG00000043301	Kcnj6	NA	0	NA	0
ENSMUSG00000043308	Vmn1r75	NA	0	NA	0
ENSMUSG00000043310	Olfr571	NA	0	NA	0
ENSMUSG00000043311	D17H6S53E	0.792832491263609	-0.3	0.897591872955788	0
ENSMUSG00000043312	Olfr131	NA	0	NA	0
ENSMUSG00000043313	Pcdhb19	0.92246334668826	-0.3	0.95069296077936	0
ENSMUSG00000043314	Olfr30	NA	0	NA	0
ENSMUSG00000043319	Cox8c	NA	0	NA	0.2
ENSMUSG00000043323	Fbrsl1	0.908299788361247	-0.2	0.394002798501363	0.1
ENSMUSG00000043329	Gm8849	NA	0	NA	0
ENSMUSG00000043331	Olfr975	NA	0	NA	0
ENSMUSG00000043333	Rhbdl2	NA	-0.3	0.762895184933508	-0.2
ENSMUSG00000043336	Filip1l	0.847101522513678	0.3	0.591341904720933	0.1
ENSMUSG00000043340	6530409C15Rik	0.953246711876594	-0.2	0.541444942702293	-0.2
ENSMUSG00000043342	Hoxd9	0.792832491263609	-0.3	0.789836704330892	0.1
ENSMUSG00000043346	Gm6741	NA	0	NA	0
ENSMUSG00000043354	Olfr577	NA	0	NA	0
ENSMUSG00000043357	Olfr187	NA	0	NA	0
ENSMUSG00000043366	Olfr78	0.740757513444403	0.6	0.984189533143934	0
ENSMUSG00000043372	Hexim2	0.903467532135518	0.2	0.986163299128564	0
ENSMUSG00000043383	Olfr1342	NA	0	NA	0
ENSMUSG00000043384	Gprasp1	0.97877847397225	-0.1	0.0761305144212724	0.5
ENSMUSG00000043385	Olfr267	NA	0.2	NA	0.3
ENSMUSG00000043388	Tmem130	0.976549510166889	0.2	NA	0.2
ENSMUSG00000043391	2510009E07Rik	0.997484756499903	0	0.377048461731279	-0.2
ENSMUSG00000043398	Gpr135	0.983356708097913	0.1	0.105210687659449	0.3
ENSMUSG00000043410	Hfm1	NA	0.1	NA	0.1
ENSMUSG00000043411	Usp48	0.922840027409966	0.1	0.0490808081632571	0.1
ENSMUSG00000043415	Otud1	0.968039051301697	-0.1	0.637649674383257	0.1
ENSMUSG00000043418	Lrit2	NA	0	NA	0
ENSMUSG00000043419	Rnf227	0.877361282178848	-0.4	0.0224274818858315	0.9
ENSMUSG00000043421	Hilpda	0.849998821273938	-0.4	0.777878809888432	-0.1
ENSMUSG00000043424	Eif3j2	0.96886396341445	-0.1	0.811154646596956	-0.1
ENSMUSG00000043429	Ccdc185	NA	0	NA	0
ENSMUSG00000043430	Psapl1	NA	-0.1	NA	0.4
ENSMUSG00000043432	Leng9	0.843911769505534	-0.3	0.415027460856861	-0.2
ENSMUSG00000043439	Epop	0.895902076248522	-0.4	0.43516504707179	-0.3
ENSMUSG00000043441	Gpr149	NA	0	NA	0
ENSMUSG00000043445	Pgp	0.989473296544104	0	0.975433851315916	0
ENSMUSG00000043448	Gjc2	0.872643997469941	-0.4	0.444156649278938	0.3
ENSMUSG00000043453	Magea10	NA	0	NA	0
ENSMUSG00000043456	Zfp536	NA	-0.6	0.96735307502183	0
ENSMUSG00000043458	Pcdhb12	0.960251642031565	-0.2	0.980753035579102	0
ENSMUSG00000043460	Elfn2	NA	0.3	0.111018497208926	0.7
ENSMUSG00000043461	Sptssb	NA	-0.1	NA	0
ENSMUSG00000043463	Rab9b	0.0271554839839886	-1.3	1.83101247989764e-18	-2.2
ENSMUSG00000043467	Zbtb37	0.962558895573265	-0.1	0.421960767710542	0.2
ENSMUSG00000043468	Adam30	NA	0	NA	0.3
ENSMUSG00000043472	Lce3d	NA	0	NA	0
ENSMUSG00000043483	Gm6863	0.878251026896436	-0.2	0.176746843912886	-0.2
ENSMUSG00000043484	Gm5867	NA	-0.2	NA	0.3
ENSMUSG00000043485	Krt34	NA	0	NA	0
ENSMUSG00000043487	Acot6	0.881174918084253	0.2	0.772656278628862	0.1
ENSMUSG00000043488	Frmd8os	0.97287564613965	0.2	NA	-0.4
ENSMUSG00000043496	Tril	0.891213116974595	-0.2	0.470684237328498	-0.2
ENSMUSG00000043501	Lgals2	0.914887495692551	-0.3	0.16065798371808	-0.4
ENSMUSG00000043505	Gimap5	0.893796980632652	0.2	0.341654173540411	-0.2
ENSMUSG00000043510	Hscb	0.989473296544104	0	0.988070656409719	0
ENSMUSG00000043518	Rai2	0.979043132003519	0.1	0.00980033036387807	-0.5
ENSMUSG00000043522	A430060F13Rik	NA	0	NA	0
ENSMUSG00000043529	Olfr266	NA	0	NA	0
ENSMUSG00000043531	Sorcs1	0.592068392284777	-0.7	0.013551059957961	-1
ENSMUSG00000043535	Setx	0.955245012971975	0.1	0.00284705700754503	0.4
ENSMUSG00000043537	Vmn1r225	NA	0	NA	0
ENSMUSG00000043541	Casc1	0.989473296544104	0	0.00923329460554016	1.2
ENSMUSG00000043542	Zc2hc1a	0.989473296544104	0	0.839447436395475	-0.1
ENSMUSG00000043549	Fam90a1b	NA	0	NA	0
ENSMUSG00000043556	Fbxl7	0.95200381562509	0.1	0.47961401062119	-0.2
ENSMUSG00000043557	Mdga1	NA	-0.8	0.831971533361621	0.1
ENSMUSG00000043569	Cldn34c4	NA	0	NA	0
ENSMUSG00000043572	Pars2	0.860215326769355	0.2	0.753054709393491	-0.1
ENSMUSG00000043583	4930470P17Rik	NA	0	NA	0
ENSMUSG00000043587	Pxylp1	0.760956498382656	-0.4	0.833527637302763	0.1
ENSMUSG00000043592	Unc5cl	NA	-0.4	0.113686848543319	0.6
ENSMUSG00000043602	Zfp3	0.996836773589053	0	0.940525940946467	0
ENSMUSG00000043605	Olfr13	NA	0	NA	0
ENSMUSG00000043613	Mmp3	0.983625941192856	-0.1	0.972967646024378	0
ENSMUSG00000043614	Vps37d	0.922610660400577	-0.2	0.0157777493032669	1
ENSMUSG00000043618	Eif5al3-ps	0.989473296544104	0.1	0.947546055158053	0
ENSMUSG00000043621	Ubxn10	0.670482949978823	-0.6	0.0342253422803978	0.9
ENSMUSG00000043623	4933412A08Rik	0.98095238524896	0.1	0.441069301993292	0.3
ENSMUSG00000043629	1700019D03Rik	0.877124888239448	-0.4	0.257693389933748	-0.4
ENSMUSG00000043631	Ecm2	0.989473296544104	0	0.912368855894551	0
ENSMUSG00000043633	Fam221b	0.582789040260081	-0.5	0.066244562893251	-0.5
ENSMUSG00000043635	Adamts3	0.992316395361847	0	0.88861570102132	-0.1
ENSMUSG00000043639	Rbm20	0.937388452380006	-0.3	0.85796021677117	0.1
ENSMUSG00000043644	0610009L18Rik	0.964893050621764	-0.1	0.0104702632014698	-0.6
ENSMUSG00000043648	Pld6	0.964893050621764	0.2	0.873002626127005	-0.1
ENSMUSG00000043659	Npsr1	NA	0	NA	0
ENSMUSG00000043661	Gm9785	0.988077505026325	0.1	NA	0.3
ENSMUSG00000043664	Tmem221	0.911378774250757	-0.2	0.0770501375654417	0.7
ENSMUSG00000043668	Tox3	0.0286194664211559	-1.3	0.522566058376616	0.4
ENSMUSG00000043670	Diras1	0.14340093000193	1.1	NA	-0.1
ENSMUSG00000043671	Dpy19l3	0.956726275690101	-0.1	0.0115226874283677	0.4
ENSMUSG00000043673	Kcns3	0.926084737821418	0.3	0.107219538079638	-0.2
ENSMUSG00000043681	Fam25c	NA	-0.1	NA	0
ENSMUSG00000043683	Fem1a	0.972043585237357	-0.1	0.224289900122155	-0.1
ENSMUSG00000043687	1190005I06Rik	0.962927953404249	0.1	0.541790903351407	-0.2
ENSMUSG00000043692	Olfr399	NA	0	NA	0
ENSMUSG00000043698	Olfr62	NA	0	NA	0
ENSMUSG00000043702	Pde12	0.919987337728712	0.1	0.401791044881657	0.1
ENSMUSG00000043705	Capn13	NA	-0.3	0.787626162213657	-0.2
ENSMUSG00000043715	Olfr1326-ps1	NA	0	NA	0
ENSMUSG00000043716	Rpl7	0.877361282178848	-0.2	0.839799944191834	0
ENSMUSG00000043719	Col6a6	0.859143874023111	-0.4	0.547620212816836	-0.2
ENSMUSG00000043727	F830045P16Rik	NA	0	NA	0
ENSMUSG00000043733	Ptpn11	0.89227145339519	-0.1	1.78846848118945e-05	-0.3
ENSMUSG00000043740	B430306N03Rik	0.877361282178848	-0.3	0.619852898769644	0.2
ENSMUSG00000043747	1520401A03Rik	0.958056624631606	0.2	0.694152605313914	0.2
ENSMUSG00000043753	Dmrta1	0.964893050621764	-0.2	NA	0.6
ENSMUSG00000043760	Pkhd1	NA	-0.1	0.0866768086213759	0.6
ENSMUSG00000043770	Gm12481	NA	0	NA	0
ENSMUSG00000043773	1700048O20Rik	0.959375184562497	0.2	0.336561331333902	0.4
ENSMUSG00000043782	Bicdl2	NA	-0.3	0.179001568711308	0.6
ENSMUSG00000043787	Defb12	NA	0	NA	0
ENSMUSG00000043789	Vwce	0.92711517020975	0.3	0.193978289536136	0.6
ENSMUSG00000043794	D830025C05Rik	0.989473296544104	0.1	0.521393604185954	0.3
ENSMUSG00000043795	Prr33	0.92711517020975	-0.2	0.00183495916789991	-0.7
ENSMUSG00000043800	Kifc5c-ps	NA	0	NA	0
ENSMUSG00000043801	Oaz1-ps	0.952222351189088	-0.1	0.321639339160848	-0.3
ENSMUSG00000043807	Ly6g5b	0.95788993551625	-0.2	0.297371399307252	-0.5
ENSMUSG00000043811	Rtn4r	0.988077505026325	-0.1	0.0874501029943027	0.8
ENSMUSG00000043822	Adamtsl5	0.189524870830471	-0.5	0.00167861648731987	-0.6
ENSMUSG00000043827	Olfr94	NA	0	NA	0
ENSMUSG00000043831	Lysmd4	0.94586549405357	-0.1	0.254502994082825	-0.1
ENSMUSG00000043832	Clec4a3	0.912774993292092	0.3	0.160085191028299	0.5
ENSMUSG00000043833	2900005J15Rik	0.872643997469941	0.2	0.12498208126447	-0.3
ENSMUSG00000043843	Tmem145	NA	-0.1	NA	0
ENSMUSG00000043850	Clrn1	0.912223157600996	0.4	0.346411788074799	0.5
ENSMUSG00000043855	Olfr479	NA	0	NA	0
ENSMUSG00000043857	Mgat5b	NA	0	NA	-0.1
ENSMUSG00000043859	1700049L16Rik	NA	0	NA	0
ENSMUSG00000043865	Tas2r118	NA	0	NA	0
ENSMUSG00000043866	Taf10	0.850976591331619	-0.2	0.00663124550681872	-0.4
ENSMUSG00000043870	Gm5809	NA	0	NA	0
ENSMUSG00000043872	Zmym1	0.962558895573265	0.2	0.171264550344599	0.3
ENSMUSG00000043873	Chil5	0.958046754296627	-0.2	0.636800775563551	0.2
ENSMUSG00000043880	Olfr323	NA	0	NA	-0.1
ENSMUSG00000043881	Kbtbd7	0.954318228439284	0.1	0.0490835922464631	0.5
ENSMUSG00000043885	Slc36a4	0.980047692248723	0.1	0.371924458473573	0.2
ENSMUSG00000043889	Gm8399	0.989473296544104	0.1	0.67675650142999	-0.2
ENSMUSG00000043892	Olfr1018	NA	0	NA	0
ENSMUSG00000043895	S1pr2	0.92711517020975	-0.2	0.291188393054067	-0.3
ENSMUSG00000043897	Vmn2r2	NA	0	NA	0.1
ENSMUSG00000043903	Zfp469	0.970592910954253	-0.2	0.953432620391589	0
ENSMUSG00000043909	Trp53bp1	0.895902076248522	-0.2	0.708345934203175	-0.1
ENSMUSG00000043911	Olfr922	NA	-0.4	NA	0
ENSMUSG00000043913	Ccdc60	NA	-0.5	0.236370666219209	0.4
ENSMUSG00000043923	Ccdc84	0.989473296544104	0	0.960915396371328	0
ENSMUSG00000043924	Ncmap	NA	-0.3	0.0066765630150486	1.2
ENSMUSG00000043925	Olfr544	NA	0.3	NA	0
ENSMUSG00000043929	Klhl15	0.775028028830565	0.3	0.0375593869926667	0.4
ENSMUSG00000043931	Gimap7	0.131694829448816	0.9	0.532488618948765	0.3
ENSMUSG00000043932	Klri2	0.993952565402855	0	0.654677127707499	0.3
ENSMUSG00000043939	A530064D06Rik	0.956451476722166	-0.2	0.503449093499033	-0.3
ENSMUSG00000043940	Wdfy3	0.994143526018358	0	0.29089120929288	0.1
ENSMUSG00000043943	Naalad2	0.996186643796172	0	0.733282067105103	-0.1
ENSMUSG00000043945	Adam6a	NA	0	NA	0
ENSMUSG00000043948	Olfr691	NA	0.2	NA	0
ENSMUSG00000043953	Ccrl2	0.989473296544104	0	0.63235008124102	0.1
ENSMUSG00000043962	Thrap3	0.926400600263646	-0.1	0.558271155384594	-0.1
ENSMUSG00000043964	Orai3	0.871687143277343	-0.1	0.476103332038244	-0.1
ENSMUSG00000043969	Emx2	0.956726275690101	-0.2	0.157520576528982	0.7
ENSMUSG00000043972	Opn5	NA	0	NA	0
ENSMUSG00000043982	Krtap19-4	NA	0	NA	0
ENSMUSG00000043986	Spata31d1d	NA	0	NA	0.1
ENSMUSG00000043987	Cep164	0.837339258833737	-0.4	0.516667122896958	-0.1
ENSMUSG00000043991	Pura	0.978033528963831	0.1	0.463608885581601	0.1
ENSMUSG00000043993	2900052L18Rik	0.496685350397745	0.5	0.11139532217221	0.4
ENSMUSG00000043998	Mgat2	0.947150581615013	-0.1	0.890904839492046	0
ENSMUSG00000043999	Gpr75	0.898895671592601	-0.3	0.743700150603413	-0.2
ENSMUSG00000044005	Gls2	0.988077505026325	-0.1	0.589938161077879	-0.3
ENSMUSG00000044006	Cilp2	0.80269930538641	-0.5	0.173361150839831	-0.7
ENSMUSG00000044014	Npy5r	NA	0	NA	0
ENSMUSG00000044017	Adgrd1	0.291121990261697	-0.6	8.87073583319853e-06	-1
ENSMUSG00000044018	Mrpl50	0.988077505026325	0	0.692939804449185	0.1
ENSMUSG00000044021	Muc19	NA	-0.1	NA	0
ENSMUSG00000044022	Pcdhb21	0.972194590221665	0.1	0.56915049803653	0.3
ENSMUSG00000044024	Rell2	0.992643480595484	0	0.366417700048272	0.5
ENSMUSG00000044025	Olfr790	NA	0	NA	0
ENSMUSG00000044026	Slc35g1	NA	-0.3	0.0195927813416519	0.8
ENSMUSG00000044029	Olfr178	NA	0.2	NA	0
ENSMUSG00000044030	Irf2bp1	0.895902076248522	-0.2	0.824679250528267	0
ENSMUSG00000044033	Ccdc141	0.978033528963831	0.1	0.940860068274505	0
ENSMUSG00000044034	Npb	0.992643480595484	0	0.877301735135774	0.1
ENSMUSG00000044037	Als2cl	0.962155537042181	-0.2	0.0966402439293272	0.3
ENSMUSG00000044039	Olfr1288	NA	0	NA	0
ENSMUSG00000044040	Olfr1497	NA	0	NA	0
ENSMUSG00000044041	Krt13	NA	-0.1	NA	0
ENSMUSG00000044042	Fmn1	0.595574532224858	-0.4	0.519102629274937	0.3
ENSMUSG00000044043	Pcdhb14	0.768605261057925	-0.4	0.750417292642754	0.1
ENSMUSG00000044052	Ccr10	0.964395436784157	-0.2	0.337267546704956	-0.3
ENSMUSG00000044055	Otos	NA	-0.1	NA	0.3
ENSMUSG00000044056	Efcab9	0.877361282178848	-0.4	0.329775189455518	0.4
ENSMUSG00000044058	Mthfr-ps1	NA	0	NA	-0.2
ENSMUSG00000044061	Olfr225	NA	0	NA	0
ENSMUSG00000044062	Plekhd1os	NA	-0.1	NA	0
ENSMUSG00000044065	Gm9788	NA	0	NA	0
ENSMUSG00000044066	Cep68	0.958536775971632	0.1	0.750259216392934	0
ENSMUSG00000044067	Gpr22	NA	0.1	NA	0
ENSMUSG00000044068	Zrsr1	0.989473296544104	0	0.673625295395872	-0.1
ENSMUSG00000044071	Tafa2	NA	0	NA	0
ENSMUSG00000044072	Eml6	0.877124888239448	-0.3	0.268705627840816	0.3
ENSMUSG00000044080	S100a1	0.996839583622384	0	0.0147285276090531	-0.5
ENSMUSG00000044081	Zfp85os	0.928626135201916	-0.3	0.481656425636591	0.3
ENSMUSG00000044083	Efcab8	0.729885110410693	-0.7	0.0356656152124785	-0.8
ENSMUSG00000044084	Spem2	NA	0.1	0.570195218887087	0.3
ENSMUSG00000044086	Lmod3	0.841805604426856	0.5	0.690637553331119	-0.2
ENSMUSG00000044092	C130050O18Rik	0.989473296544104	0	0.141226062167381	-0.5
ENSMUSG00000044098	Rsbn1	0.947668944261202	-0.1	0.179348685983968	0.2
ENSMUSG00000044103	Il1f9	NA	0	NA	0.2
ENSMUSG00000044106	Olfr868	NA	0	NA	0
ENSMUSG00000044117	Bmerb1	0.810393391712966	0.6	NA	0.1
ENSMUSG00000044120	Olfr683	NA	0	NA	0
ENSMUSG00000044121	5430402E10Rik	NA	0	NA	0
ENSMUSG00000044122	Proca1	0.98095238524896	0.1	0.173164125213038	-0.3
ENSMUSG00000044125	9530080O11Rik	NA	-0.2	NA	0.3
ENSMUSG00000044134	Pheta1	0.847221359725078	-0.2	0.294975693230554	-0.1
ENSMUSG00000044139	Prss53	0.956451476722166	-0.2	0.947773376506499	0
ENSMUSG00000044141	E130201H02Rik	0.988077505026325	0.1	0.885312256625167	-0.1
ENSMUSG00000044145	1810024B03Rik	0.988077505026325	-0.1	0.667813722842681	-0.1
ENSMUSG00000044147	Arf6	0.944917999820426	-0.1	0.873970820748571	0
ENSMUSG00000044148	1810030O07Rik	0.983020943391418	0	0.675678472308617	0
ENSMUSG00000044149	Nkrf	0.792832491263609	0.2	0.657325231484071	0.1
ENSMUSG00000044150	Bclaf3	0.964893050621764	0.1	0.120395297043603	0.4
ENSMUSG00000044155	Lsm8	0.989473296544104	0	0.419030830284849	0.1
ENSMUSG00000044156	Hepacam2	0.990427292611358	0	0.313377646043534	-0.3
ENSMUSG00000044162	Tnip3	0.981217589773868	0.1	0.124175211668993	0.7
ENSMUSG00000044164	Rnf182	0.949031458038545	-0.2	0.858434142056601	0.1
ENSMUSG00000044165	Bcl2l15	NA	-0.5	NA	0.3
ENSMUSG00000044167	Foxo1	0.989473296544104	0	0.531536252243593	-0.1
ENSMUSG00000044170	Olfr1384	NA	0	NA	0.1
ENSMUSG00000044172	Ptx4	NA	0	0.359975490495308	0.5
ENSMUSG00000044176	Spink10	NA	0.2	NA	0.1
ENSMUSG00000044177	Wfikkn2	7.74978866581716e-05	-0.9	0.175587492420051	-0.6
ENSMUSG00000044186	Nkx2-6	NA	0	NA	0
ENSMUSG00000044197	Gpr146	0.86689621727423	0.3	0.32679962137749	-0.2
ENSMUSG00000044199	S1pr4	0.962558895573265	0.2	0.976751887776528	0
ENSMUSG00000044201	Cdc25c	0.912223157600996	-0.4	0.0896808749872484	0.8
ENSMUSG00000044205	Olfr983	NA	-0.1	NA	0
ENSMUSG00000044206	Vsig4	0.937016478893374	0.3	0.21998154957849	-0.6
ENSMUSG00000044211	Gm7887	0.877124888239448	0.2	0.901361600232828	-0.1
ENSMUSG00000044213	Olfr1094	NA	0	NA	0
ENSMUSG00000044216	Kcnj4	NA	0.1	NA	-0.1
ENSMUSG00000044217	Aqp5	NA	0	0.0777341255531493	-0.8
ENSMUSG00000044220	Nkx2-3	NA	0	NA	0
ENSMUSG00000044221	Grsf1	0.986781617653622	0	0.284772942032227	-0.1
ENSMUSG00000044222	Defb13	NA	0	NA	0
ENSMUSG00000044224	Dnajc21	0.98095238524896	0.1	0.836843442174813	0
ENSMUSG00000044227	Gm9789	NA	0	NA	0
ENSMUSG00000044229	Nxpe4	0.792832491263609	0.3	0.799409531271087	0.1
ENSMUSG00000044231	Nhlrc1	0.842411941273045	-0.2	0.221554732764938	-0.3
ENSMUSG00000044243	Bhlha9	0.923998888979903	-0.3	NA	0
ENSMUSG00000044244	Il20rb	0.999532109316737	0	0.0132230227887524	0.9
ENSMUSG00000044248	Vmn1r45	NA	0	NA	0
ENSMUSG00000044249	Defb29	NA	0	0.547404634410493	0.2
ENSMUSG00000044250	Pced1b	0.829344462647722	-0.3	0.714695421212189	-0.1
ENSMUSG00000044252	Osbpl1a	0.964893050621764	0.1	0.427878245874513	0.2
ENSMUSG00000044254	Pcsk9	0.838065685438149	-0.5	0.913425974339088	-0.1
ENSMUSG00000044258	Ctla2a	0.978033528963831	0.2	0.771146948549419	0.1
ENSMUSG00000044265	Olfm5	NA	0	NA	0
ENSMUSG00000044268	Gm4895	0.989473296544104	0.1	0.47199815169459	-0.3
ENSMUSG00000044276	4933427E11Rik	NA	0.6	NA	0.5
ENSMUSG00000044279	Crb3	NA	-0.5	0.0168010214333331	1.1
ENSMUSG00000044285	Gm1821	NA	-0.5	0.166741861441207	-0.5
ENSMUSG00000044286	Olfr221	NA	0	NA	0.1
ENSMUSG00000044287	Nrn1l	NA	-0.3	NA	0.1
ENSMUSG00000044288	Cnr1	0.995426125586454	0	0.956087015656073	0
ENSMUSG00000044292	Olfr978	NA	0	NA	0
ENSMUSG00000044293	Olfr794	NA	0	NA	0
ENSMUSG00000044294	Krt84	NA	0	NA	0
ENSMUSG00000044296	Zfp879	0.958536775971632	-0.2	0.564224967649883	0.3
ENSMUSG00000044303	Cdkn2a	0.915118530724458	0.3	0.606417889719442	-0.3
ENSMUSG00000044306	4930500M09Rik	NA	-0.2	NA	0.1
ENSMUSG00000044308	Ubr3	0.988077505026325	0	0.689038936264494	-0.1
ENSMUSG00000044309	Apol7c	0.9924007127335	0	0.0411772320759806	0.9
ENSMUSG00000044312	Neurog3	NA	-0.3	NA	-0.5
ENSMUSG00000044313	Mab21l3	0.811615016322965	-0.5	0.0274803969445537	1
ENSMUSG00000044317	Gpr4	0.86848297086679	0.3	0.449984617832743	0.2
ENSMUSG00000044320	1700001O22Rik	8.32393014361572e-14	2.4	2.49295012253059e-18	2.2
ENSMUSG00000044322	Dsc1	NA	0	NA	0
ENSMUSG00000044328	Trp53i13	0.985119064813798	-0.1	0.15197312965698	-0.2
ENSMUSG00000044330	Gm9790	0.975917361104689	-0.2	0.424778861410582	-0.4
ENSMUSG00000044337	Ackr3	0.792832491263609	-0.2	0.166267759608993	-0.3
ENSMUSG00000044338	Aplnr	0.989473296544104	0.1	0.958585807570802	0
ENSMUSG00000044339	Alkbh2	0.980047692248723	-0.1	0.453484732220463	-0.2
ENSMUSG00000044340	Phlpp1	0.978033528963831	-0.1	0.998846283747459	0
ENSMUSG00000044345	Marveld1	0.735243990066916	-0.5	0.00149226182811552	-0.3
ENSMUSG00000044348	Slc25a53	0.927331440281663	0.2	0.141591482587981	0.2
ENSMUSG00000044349	Snhg11	0.467173890796892	0.6	0.304195214520872	-0.2
ENSMUSG00000044350	Lacc1	0.983356708097913	0.1	0.991484120431153	0
ENSMUSG00000044352	Sowaha	NA	-0.3	0.0314441464346623	1
ENSMUSG00000044359	P2ry4	NA	0.4	NA	0.2
ENSMUSG00000044361	BC024139	0.954775796778502	-0.2	0.654641740648974	-0.2
ENSMUSG00000044362	Ccdc89	0.979571071752633	-0.1	0.233362309440352	0.5
ENSMUSG00000044364	Tmem74b	0.882406590726005	-0.4	NA	-0.4
ENSMUSG00000044365	Cxxc4	0.956451476722166	0.2	0.388751847586309	0.3
ENSMUSG00000044367	Slc16a13	0.994143526018358	0	0.0100062637154703	0.9
ENSMUSG00000044375	Pcare	NA	0	NA	0
ENSMUSG00000044377	Gm13080	NA	0.2	NA	-0.2
ENSMUSG00000044378	Slc15a5	0.571720440748786	-0.8	0.128879138685683	-0.7
ENSMUSG00000044387	2410080I02Rik	0.919987337728712	-0.3	NA	0.1
ENSMUSG00000044390	Tigd3	0.989473296544104	0	0.480820590783736	0.3
ENSMUSG00000044393	Dsg2	NA	-0.2	0.31290199303634	0.3
ENSMUSG00000044400	Sowahd	NA	0	NA	0.3
ENSMUSG00000044405	Adig	0.9157894359202	0.3	0.133451024545388	-0.4
ENSMUSG00000044408	Sptssa	0.988077505026325	0	0.464920925040641	0.1
ENSMUSG00000044424	Gm9493	0.985119064813798	-0.1	0.79871314933622	0.2
ENSMUSG00000044429	Cryga	NA	0	NA	0
ENSMUSG00000044430	Klk12	NA	0.1	NA	0
ENSMUSG00000044433	Camsap3	0.674241434581004	-0.5	0.206661534499791	0.3
ENSMUSG00000044434	Gm9791	0.843911769505534	0.3	0.93392872462697	0
ENSMUSG00000044441	Olfr1442	NA	0	NA	0.1
ENSMUSG00000044442	N6amt1	0.949705491962278	-0.1	0.524832832941032	0.1
ENSMUSG00000044444	Pfn3	NA	0	NA	0
ENSMUSG00000044447	Dock5	0.563306659148347	-0.4	0.265301427115104	-0.3
ENSMUSG00000044452	Zfp507	0.989473296544104	0	0.51141321266262	0.1
ENSMUSG00000044453	Ffar1	0.940585215446722	0.3	0.753809083592786	-0.2
ENSMUSG00000044454	Olfr867	NA	0	NA	0.1
ENSMUSG00000044456	Rin3	0.99758141429576	0	0.953975581027938	0
ENSMUSG00000044457	Stk-ps2	NA	0	NA	0
ENSMUSG00000044461	Shisa2	0.922610660400577	-0.3	0.300912364943083	0.4
ENSMUSG00000044465	Fam160a2	0.981217589773868	0	0.226750483125687	-0.1
ENSMUSG00000044468	Tent5c	0.881023015719009	-0.2	0.370035818084188	0.2
ENSMUSG00000044469	Tnfaip8l1	0.97778417801449	0.1	0.817990880523513	-0.1
ENSMUSG00000044471	Lncpint	0.989473296544104	-0.1	0.716050030512266	-0.2
ENSMUSG00000044475	Ascc1	0.913086089837342	-0.1	0.803059757533576	-0.1
ENSMUSG00000044477	Zfand3	0.965367082526809	0.1	0.621065271264382	-0.1
ENSMUSG00000044485	Klk1b11	NA	0	NA	0
ENSMUSG00000044487	Olfr1112	NA	0	NA	0
ENSMUSG00000044496	2510039O18Rik	0.982286243280519	0	0.830412798019681	0
ENSMUSG00000044499	Hs3st5	NA	0	NA	0
ENSMUSG00000044501	Zfp758	0.897066953986583	0.3	0.204463078948144	0.5
ENSMUSG00000044502	Bod1	0.949031458038545	0.1	0.803195739816006	0
ENSMUSG00000044505	Lingo4	0.877124888239448	0.4	0.187860660961187	0.6
ENSMUSG00000044515	Gm8385	NA	0	NA	0
ENSMUSG00000044518	Foxe3	NA	0	NA	-0.5
ENSMUSG00000044519	Zfp488	NA	0	NA	0
ENSMUSG00000044522	A730020M07Rik	0.988077505026325	0.1	0.0925914219619977	0.5
ENSMUSG00000044526	Znrf4	NA	0	NA	0.3
ENSMUSG00000044528	Tram1l1	0.990992399584469	0	NA	0.2
ENSMUSG00000044533	Rps2	0.922840027409966	-0.2	0.0466498090224193	-0.3
ENSMUSG00000044534	Ackr2	0.792832491263609	-0.4	0.013803035762436	-0.6
ENSMUSG00000044537	Olfr779	NA	0	NA	0
ENSMUSG00000044538	Obox3-ps8	NA	0	NA	0
ENSMUSG00000044542	Prop1	NA	0	NA	0
ENSMUSG00000044544	4921513I03Rik	0.895870118173581	0.4	0.721079317387219	0.2
ENSMUSG00000044548	Dact1	0.836058460122146	-0.3	0.313402020523795	-0.3
ENSMUSG00000044550	Tceal3	0.988177262189016	-0.1	0.0650674044672738	0.8
ENSMUSG00000044551	9930012K11Rik	0.571720440748786	-0.5	0.223034314562303	-0.3
ENSMUSG00000044556	Tex38	0.903593338456232	-0.4	NA	0.1
ENSMUSG00000044560	Olfr1302	NA	0	NA	0
ENSMUSG00000044562	Rasip1	0.916755620679971	0.2	0.888241766392962	0
ENSMUSG00000044566	Cage1	0.913485430996735	0.2	0.203964152085494	0.4
ENSMUSG00000044573	Acp1	0.912223157600996	0.1	0.20355659753717	0.2
ENSMUSG00000044574	5031434C07Rik	NA	0.3	NA	0.4
